CNL_OFICINA,CNL_TERMINAL,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,
0,BO000001,,,,,,,,,2732,3058,3690,3458,3872,4958,4167,3479,3836,3779,
0,BO000002,,,,,,,,,4085,5507,6338,4028,6045,6969,6292,5897,5968,5932,
0,BO000003,,,,,,,,,5816,3747,5383,4948,5308,5030,4722,4177,4567,5210,
0,BO000004,,,,,,,,,4165,3402,,,,,,,,,
0,BO000033,,,,,,,,,802,,,,,,,,,,
0,BO087901,,,,,,,,1663,1679,1796,1638,2094,2464,3322,2497,2085,1848,2088,
0,BO140201,,,,,,,,,,,,,,,,4475,3823,5072,
0,BO140202,,,,,,,,,,,,,,,,6056,5190,6043,
0,BOW700001,3127,2581,2513,2437,2718,2312,2851,1531,,,,,,,,,,,
0,BOW700002,5218,4656,4442,4716,5142,4452,4981,3425,,,,,,,,,,,
0,BOW700003,6143,5308,5296,5709,5521,4879,5812,3456,,,,,,,,,,,
0,BOW700004,4291,4242,4415,4745,5364,3923,4470,2307,,,,,,,,,,,
0,BOW7140201,4985,5749,3863,4803,4593,4150,5017,2484,3993,4293,4531,4670,5154,7434,5924,,,,
0,BOW7140202,6855,6730,4844,6483,5778,5767,5574,3646,5258,5218,4804,4617,6447,7755,5616,,,,
0,BOW787901,2540,2421,1774,2258,1733,1641,2022,,,,,,,,,,,,
33,BO003301,,,,,,,,4441,6565,6574,7767,5472,5151,6887,5807,4978,4444,4815,
33,BO003302,,,,,,,,4176,5840,5532,5595,6147,6140,6890,6523,5716,6532,6031,
33,BO003303,,,,,,,,4688,6667,6282,5996,5589,6779,7066,6490,6461,6195,6545,
33,BOR1694,6753,4459,4115,5501,6177,5460,5301,5459,6036,5476,5418,5937,6065,5482,,,,,
33,BOR1694E,,,,,,,,,,,,,,,6421,5913,5935,6312,
33,BOW703301,6545,5325,4217,6419,7026,4945,1223,,,,,,,,,,,,
33,BOW703302,6207,5243,2791,5820,6238,4651,1203,,,,,,,,,,,,
33,BOW703304,5102,3771,4252,5387,6371,5889,1174,,,,,,,,,,,,
33,BOW703305,5806,3430,2535,,,2025,,,,,,,,,,,,,
37,BO003701,,,,,,,,,,3675,5618,5714,5892,6679,6842,5998,6272,5969,
37,BO003702,,,,,,,,,,4582,7755,6438,7350,8253,6460,7013,8215,8036,
37,BO003703,,,,,,,,,,3069,5022,5152,5260,5597,6629,5030,5618,5404,
37,BOR1601,12980,10419,7160,11112,9882,8965,11159,10119,12452,10038,12038,10210,13076,12745,,,,,
37,BOR1601E,,,,,,,,,,,,,,,,,6281,5486,
37,BOW703701,6227,4965,3505,5291,5822,4708,5580,5076,5393,,,,,,,,,,
37,BOW703702,7612,6286,5193,6832,6820,5742,6816,6193,6364,1725,,,,,,,,,
37,BOW703703,5202,4015,3234,4382,4170,3543,4342,3591,4143,,,,,,,,,,
63,BO006301,,,,,,,,,,,,4757,7500,9447,9993,8012,7430,6610,
63,BO006302,,,,,,,,,,,,7558,7241,7429,9013,7734,7304,7287,
63,BO006303,,,,,,,,,,,,8585,7310,7682,7804,6311,7546,7199,
63,BO144901,,,,,,,,,,,,,,,,3589,,,
63,BOW706301,7467,8408,5387,6813,6460,5979,6091,6662,6751,7450,6957,,,,,,,,
63,BOW706302,12728,11032,9663,11716,11990,10230,11656,10781,11130,12624,9869,,,,,,,,
63,BOW706303,10611,11738,7375,10906,11593,10689,11957,11017,11699,12129,10848,,,,,,,,
63,BOW7145001,,,,,,,,,,,,,6306,,,,,,
92,BO009201,,,,,,,,,,,,,,2316,5859,5431,5795,5464,
92,BO009202,,,,,,,,,,,,,,1668,4155,4734,4528,5208,
92,BO009203,,,,,,,,,,,,,,3247,7547,6682,6693,5789,
92,BO009204,,,,,,,,,,,,,,3110,8753,7812,8242,9054,
92,BO145401,,,,,,,,,,,,,,,,,2663,4972,
